,dip_ct,dip_pkt_size_ct
163.33.239.192,1,40
163.33.198.216,1,101
163.33.199.166,1,40
133.149.82.217,1,40
133.149.175.35,1,44
163.33.24.210,1,40
163.33.213.160,1,40
163.33.73.47,1,40
133.149.191.36,1,40
202.204.57.35,1,40
163.33.29.151,1,60
203.77.122.232,1,117
133.149.92.72,1,40
202.198.24.24,1,40
133.149.33.167,1,40
133.149.209.253,1,44
150.75.206.210,1,44
150.75.157.185,1,40
163.33.166.27,1,103
133.11.76.182,1,40
133.149.204.111,1,48
202.198.24.86,1,40
133.11.125.205,1,40
133.149.89.1,1,40
150.75.80.227,1,40
133.11.93.254,2,100
202.198.29.112,1,40
203.77.11.105,2,80
203.77.58.249,1,40
163.33.175.13,1477,2024611
133.149.219.176,1,40
163.33.227.120,1,40
203.77.7.119,1,40
133.149.187.190,1,40
163.33.94.203,4,1283
163.33.24.140,19,2470
150.75.143.219,1,40
202.198.23.163,1,40
133.149.63.105,8,384
133.149.249.252,1,40
133.11.75.222,1,60
150.75.201.227,1,40
203.77.5.101,2,80
202.198.26.193,1,40
163.33.30.92,1,44
150.75.43.79,1,40
150.75.67.231,1,40
150.75.90.251,1,40
203.77.92.75,1,40
163.33.217.168,1,40
163.33.7.199,1,40
133.149.218.127,1,40
150.75.51.194,1,48
203.77.30.36,1,40
133.149.94.172,1,40
150.75.157.140,1,40
133.149.183.64,1,52
133.11.120.239,1,40
133.11.93.162,1,40
202.198.33.111,2,80
150.75.46.20,1,40
202.204.58.218,1,40
203.77.26.80,1,40
133.11.67.118,1,44
163.33.177.22,1,40
150.75.197.203,1,40
133.149.196.100,1,40
203.77.7.30,1,40
163.33.137.13,1,40
133.149.125.192,1,40
202.198.38.171,1,40
163.33.147.107,1,44
203.77.63.117,1,44
163.33.119.62,1,40
202.25.107.255,1,48
163.33.199.157,2,111
163.33.216.106,1022,1398178
163.33.162.64,1,44
150.75.203.8,1,40
133.11.70.130,53,5498
133.149.236.80,1,40
150.75.99.63,1,40
150.75.194.31,1,40
202.198.0.36,2,80
133.149.244.181,1,40
203.77.124.168,4,336
203.77.65.205,1,40
133.11.71.104,1,40
150.75.131.36,1,40
133.149.242.25,1,44
202.198.54.142,1,40
163.33.235.144,1,40
163.33.182.137,6,312
150.75.106.221,1,40
163.33.115.203,1,40
202.198.63.236,1,40
133.149.93.175,1,40
163.33.10.197,1,40
203.77.53.169,1,40
133.11.107.178,1,40
133.149.61.90,1,40
133.149.49.26,2,92
150.75.17.196,1,40
133.149.44.248,1,40
202.198.19.167,1,40
133.11.104.72,1,40
133.11.88.204,1,40
150.75.248.164,1,40
163.33.139.45,1,44
150.75.216.82,1,40
133.149.251.198,1,40
163.33.32.179,1,40
133.149.251.96,1,40
150.75.99.92,1,40
163.33.51.145,1,40
163.33.176.188,1,40
150.75.194.25,1,40
133.11.102.2,1,40
133.149.40.121,1,40
203.77.117.140,1,44
163.33.141.60,1,69
203.77.47.74,1,40
203.77.80.36,1,40
163.33.70.117,1,56
203.77.118.206,8,1373
203.77.17.169,1,40
163.33.133.158,1,40
163.33.85.87,1,40
133.149.147.99,1,40
203.77.3.187,1,44
150.75.25.15,1,44
133.149.143.135,1,44
133.11.107.89,1,40
202.15.129.53,1,40
203.77.51.185,1,40
133.149.220.212,1,40
150.75.206.187,1,40
133.11.96.165,1,40
163.33.140.111,1,52
133.149.236.81,1,40
133.149.66.193,1,44
133.149.34.67,1,44
203.77.123.53,2,80
202.198.38.122,1,40
203.77.60.241,1,44
133.11.88.59,1,40
150.75.105.167,1,44
150.75.101.249,1,40
163.33.50.228,1,40
150.75.194.196,1,40
163.33.125.108,1,40
203.77.0.22,1,40
133.149.75.9,1,40
203.77.48.107,1,40
133.149.73.233,1,40
202.198.61.111,1,44
150.75.38.147,1,44
133.149.60.135,1,44
133.149.175.9,1,40
133.149.93.193,1,40
163.33.236.197,1,44
150.75.69.104,1,40
163.33.239.67,94,112249
163.33.95.255,5,5221
150.75.17.23,1,40
163.33.158.182,1,40
163.33.155.156,1,40
163.33.196.214,1,44
202.198.29.113,1,44
133.149.129.224,1,40
150.75.11.74,2,256
163.33.149.215,1,44
202.198.46.37,1,44
163.33.34.7,1,48
202.204.56.73,2,120
203.77.127.57,4,511
150.75.16.193,1,40
133.11.71.114,1,40
202.198.60.11,1,44
203.77.115.36,2,304
163.33.27.90,1,40
203.77.22.172,1,44
163.33.137.23,1,40
150.75.195.31,1,40
163.33.178.195,1,44
133.149.174.19,1,40
150.75.69.125,1,40
150.75.20.205,1,40
202.204.60.85,4,883
150.75.246.220,1,40
133.149.235.81,1,40
133.149.220.221,1,40
163.33.139.216,1,40
150.75.179.209,1,40
133.11.105.35,1,40
203.77.60.41,1,44
150.75.202.212,2,80
163.33.196.41,1,40
133.149.239.25,1,44
150.75.78.126,1,40
203.77.62.228,1,40
163.33.184.125,1,40
163.33.169.123,1,40
133.149.118.19,1,58
150.75.245.173,1,40
163.33.155.176,1,40
202.204.59.148,1,40
133.149.194.86,1,44
163.33.240.209,1,40
133.11.115.118,1,40
203.77.82.110,1,40
163.33.229.50,1,44
203.77.80.60,3,1326
150.75.167.246,1,40
163.33.39.249,1,40
133.149.210.206,1,44
203.77.102.50,1,44
163.33.148.8,1,40
133.149.201.246,1,52
202.198.59.232,1,40
150.75.190.120,1,40
150.75.148.87,1,40
163.33.141.202,108,151917
163.33.140.126,171,199134
163.33.92.77,20,7662
150.75.58.40,1,40
150.75.163.37,1,40
163.33.67.82,1,44
163.33.176.233,1,40
163.33.148.69,1,40
163.33.231.60,1,127
150.75.117.60,1,40
163.33.235.215,109,140845
202.198.62.84,1,44
150.75.255.146,1,40
150.75.250.141,1,40
133.149.80.197,1,576
163.33.173.71,1,40
163.33.36.25,1,40
203.77.124.195,3,120
150.75.172.195,1,40
150.75.161.209,1,40
133.11.125.209,1,40
150.75.167.187,1,40
150.75.77.89,1,40
133.149.156.151,1,44
150.75.211.82,1,40
150.75.147.156,1,40
150.75.78.156,1,40
163.33.172.224,1,40
133.149.234.89,1,40
133.149.14.191,1,44
163.33.125.130,1,40
133.11.83.26,1,40
150.75.76.226,1,40
163.33.119.175,1,40
133.149.190.165,1,40
163.33.127.54,1,40
203.77.14.22,1,40
163.33.242.85,1,40
150.75.209.181,1,40
203.77.11.17,1,40
163.33.96.161,1,40
150.75.35.153,1,44
163.33.154.197,1,40
150.75.151.63,1,44
150.75.207.128,1,40
163.33.184.153,1,44
150.75.216.184,1,40
133.11.114.83,1,44
150.75.0.21,1,60
163.33.249.26,1,40
133.11.102.145,1,40
150.75.98.117,1,40
133.149.239.246,1,40
163.33.162.139,1,40
150.75.29.29,1,40
150.75.42.53,1,40
150.75.207.108,1,40
150.75.11.101,1,40
163.33.179.142,1,40
163.33.217.238,1,40
163.33.209.211,1,40
133.11.72.111,1,40
203.77.127.37,1,55
202.204.61.57,2,80
150.75.146.202,1,44
133.149.176.148,2,80
133.149.209.118,1,40
150.75.177.92,1,40
150.75.170.246,1,40
150.75.234.66,2,80
203.77.25.138,1,40
133.11.114.220,1,40
150.75.141.147,1,40
163.33.171.113,1,40
150.75.154.174,1,860
150.75.233.160,1,40
150.75.207.89,1,40
202.198.40.145,1,40
150.75.142.200,1,40
163.33.193.241,1,40
202.198.23.176,1,40
163.33.193.197,1,40
163.33.180.116,2,80
163.33.41.251,1,60
133.149.1.36,1,40
133.149.193.66,1,44
163.33.89.161,1,40
150.75.65.198,1,40
150.75.65.197,1,40
163.33.5.243,2,88
150.75.45.78,1,40
133.11.105.62,1,40
133.149.120.207,2,84
150.75.97.34,1,40
202.198.10.249,1,28
202.204.62.234,9,1489
202.204.61.93,1,44
133.149.13.14,1,40
202.198.5.103,1,40
203.77.79.203,1,40
203.77.51.145,1,44
133.149.19.247,1,40
203.77.86.190,1,40
163.33.162.134,1,40
203.77.121.27,10,897
163.33.239.34,1,44
203.77.61.181,1,40
163.33.205.176,1,40
163.33.16.227,1,44
133.149.198.23,1,40
133.149.50.65,1,40
133.149.134.82,1,40
133.11.93.213,1,44
150.75.80.212,1,40
150.75.252.113,1,40
163.33.30.216,1,40
203.77.15.184,1,44
163.33.37.136,1,40
133.149.7.5,1,40
150.75.80.194,1,40
163.33.147.246,1,40
150.75.239.229,1,40
133.149.196.112,1,40
163.33.111.205,4,349
163.33.10.27,1,40
150.75.106.172,1,40
203.77.83.71,1,44
203.77.101.33,1,40
133.149.177.49,1,52
203.77.73.42,1,40
202.198.13.233,1,44
133.149.186.233,1,40
202.198.23.147,1,40
133.11.109.31,2,80
150.75.178.175,1,40
150.75.170.136,1,40
150.75.158.223,1,40
202.198.43.198,1,40
150.75.140.178,1,40
150.75.167.45,1,40
150.75.167.34,1,40
203.77.122.150,1,40
163.33.87.19,1,40
163.33.237.149,1,40
203.77.64.156,1,40
163.33.128.248,1,40
133.149.97.80,1,40
203.77.122.197,4,344
150.75.109.128,1,40
203.77.102.174,1,44
163.33.143.70,1,44
163.33.181.186,1,40
150.75.138.160,1,40
203.77.2.61,1,40
203.77.38.172,1,40
133.149.214.239,7,546
163.33.63.174,2,627
150.75.172.52,1,40
202.198.50.224,1,40
163.33.101.227,1,40
150.75.45.201,1,40
133.11.65.151,1,40
133.149.145.204,1,40
203.77.53.222,1,40
163.33.181.149,1,40
163.33.84.53,1,313
133.149.231.12,1,40
150.75.162.190,1,40
163.33.89.52,1,60
203.77.31.142,1,40
150.75.160.176,1,40
150.75.74.127,1,40
150.75.239.159,1,40
133.149.241.169,1,48
163.33.105.50,1,40
150.75.226.184,1,40
163.33.42.32,1,40
150.75.237.112,1,40
163.33.4.119,1,40
150.75.31.192,1,40
163.33.121.86,1,40
150.75.129.61,1,40
150.75.185.56,1,40
203.77.44.204,1,40
203.77.35.219,1,40
163.33.26.98,1,40
133.149.38.219,1,40
150.75.214.81,1,40
150.75.242.180,1,40
163.33.67.191,1,40
150.75.227.254,1,44
150.75.163.55,1,40
133.11.114.168,1,44
163.33.132.74,5,353
150.75.247.245,1,40
150.75.109.149,1,40
150.75.137.169,1,40
163.33.201.139,1,40
163.33.201.22,56,32569
133.149.120.249,1,40
163.33.89.236,1,40
133.11.104.83,1,44
202.204.62.79,1,48
133.11.114.239,1,40
150.75.109.118,1,40
150.75.109.182,1,40
150.75.175.45,1,40
150.75.57.210,1,40
163.33.95.188,1,40
163.33.73.100,1,40
133.149.18.149,1,44
203.77.62.70,1,40
163.33.172.242,1,45
163.33.147.146,1,40
163.33.250.94,1,40
203.77.2.163,1,40
150.75.93.195,1,40
133.149.67.73,1,40
150.75.68.183,1,40
163.33.62.23,1,40
150.75.239.255,1,40
150.75.229.27,1,40
150.75.64.144,1,40
133.149.105.68,1,40
202.198.42.136,1,40
163.33.94.62,4,334
163.33.35.118,1,40
163.33.254.151,1,40
202.198.15.100,1,40
150.75.83.111,1,40
163.33.73.230,1,40
150.75.42.146,1,40
203.77.122.200,1,40
133.149.91.97,1,40
163.33.208.220,1,40
150.75.143.17,1,40
203.77.12.168,1,40
163.33.37.109,1,40
163.33.67.220,1,40
150.75.155.7,1,40
133.149.152.145,1,40
133.149.43.21,1,41
133.149.10.231,1,40
163.33.148.96,1,40
133.11.95.186,1,40
163.33.134.150,1,40
150.75.117.165,1,40
150.75.144.41,1,40
133.149.179.131,1,40
163.33.141.149,2,141
133.149.160.79,1,40
133.149.246.227,1,40
163.33.63.129,2,951
163.33.151.67,1,40
203.77.125.153,1,40
203.77.4.143,1,40
150.75.103.25,1,576
150.75.170.195,1,40
163.33.189.165,1,40
202.198.28.107,1,40
203.77.62.38,1,40
163.33.82.251,1,40
203.77.25.8,1,40
133.149.193.79,1,40
203.77.115.247,1,44
133.11.115.140,1,44
163.33.188.83,1,44
133.149.108.58,1,40
150.75.220.80,1,40
203.77.92.141,1,40
133.149.210.51,2,1152
133.149.59.6,1,40
150.75.157.234,1,40
150.75.166.44,1,40
150.75.101.91,1,44
133.149.107.138,1,40
133.149.163.167,1,40
163.33.125.39,1,40
203.77.125.184,1,40
203.77.72.13,1,40
150.75.236.54,1,40
133.149.129.129,1,40
133.11.103.153,1,48
163.33.174.204,1,44
163.33.180.90,1,40
133.149.168.192,1,40
150.75.39.70,1,40
133.149.5.232,1,44
163.33.121.6,1,40
150.75.102.93,1,40
150.75.243.218,1,40
203.77.86.140,1,92
163.33.93.112,252,343399
203.77.53.11,1,40
150.75.232.187,1,40
202.204.59.213,1,40
163.33.168.164,2,112
202.198.10.190,1,44
163.33.99.73,9,8774
150.75.178.234,1,40
163.33.50.91,1,40
150.75.36.43,1,44
163.33.139.88,1,44
202.198.56.15,1,40
150.75.32.160,1,40
203.77.109.126,1,40
150.75.176.216,1,40
150.75.12.170,1,40
163.33.228.61,1,52
133.149.108.37,1,40
133.11.83.78,1,48
150.75.137.191,1,40
133.149.59.171,1,40
203.77.11.33,1,40
133.11.106.176,1,40
203.77.34.209,1,44
163.33.69.58,1,40
203.77.17.145,1,58
163.33.57.194,1,40
150.75.209.104,1,40
150.75.47.186,1,40
150.75.61.80,1,40
133.149.184.36,1,44
133.149.185.222,1,40
150.75.234.242,1,40
133.149.157.59,1,40
150.75.121.10,1,40
202.198.49.0,1,40
203.77.118.142,2,188
133.149.86.93,1,40
150.75.103.33,1,40
163.33.205.207,1,40
163.33.92.59,3,1393
150.75.96.230,1,40
163.33.69.95,1,40
150.75.216.157,1,40
163.33.191.215,1,1439
133.11.74.182,1,60
150.75.137.49,1,40
133.149.238.223,1,40
150.75.156.240,1,40
133.149.246.193,1,44
133.149.226.237,1,40
150.75.135.185,1,40
202.198.0.146,1,44
163.33.84.6,1,40
150.75.102.26,1,40
150.75.103.194,1,40
133.149.51.110,1,40
133.149.44.218,1,41
133.149.40.59,1,40
203.77.5.225,1,40
163.33.98.120,1,40
163.33.203.72,1,40
150.75.166.197,1,40
133.149.186.115,1,40
203.77.124.81,2,80
203.77.22.248,1,40
163.33.145.73,1,40
150.75.26.51,6,2214
163.33.35.177,1,44
133.149.176.122,1,44
163.33.210.150,1,40
133.11.74.90,2,80
163.33.209.31,1,40
203.77.126.59,2,168
163.33.183.145,1,68
163.33.28.60,1,40
163.33.199.167,3,120
163.33.141.224,4,278
163.33.124.222,1,40
163.33.213.178,1,40
163.33.19.76,1,40
163.33.221.234,1,40
133.149.240.19,1,40
203.77.59.173,1,40
133.11.120.48,1,40
203.77.25.36,1,40
133.149.64.28,1,40
133.149.161.112,1,40
202.198.13.90,1,40
202.198.58.0,1,40
163.33.255.235,1,40
163.33.121.65,1,40
163.33.141.255,1,112
163.33.69.85,1,40
150.75.216.106,1,40
203.77.11.62,1,40
163.33.35.67,1,70
163.33.182.134,1,40
150.75.97.145,1,40
202.198.19.186,1,40
150.75.164.106,1,40
150.75.47.69,1,40
163.33.56.160,1,40
203.77.12.12,1,40
150.75.5.45,1,40
163.33.121.23,1,40
163.33.148.108,1,40
203.77.118.204,1,40
163.33.117.78,1,40
163.33.110.3,1,40
150.75.243.229,1,40
202.198.22.92,1,44
150.75.191.174,1,44
150.75.6.67,1,40
150.75.101.192,1,53
150.75.157.97,1,40
150.75.110.114,1,40
150.75.172.228,1,44
133.149.32.234,1,44
203.77.39.1,1,40
163.33.105.72,1,44
163.33.205.141,1,40
163.33.121.9,1,40
133.11.102.39,1,40
163.33.180.243,1,40
150.75.28.221,1,40
150.75.222.129,1,40
133.11.103.18,1,40
163.33.110.13,1,40
203.77.16.207,1,40
133.149.106.165,1,40
163.33.73.41,1,40
133.149.63.62,1,40
150.75.198.78,1,40
202.198.35.159,1,44
163.33.245.37,1,40
202.204.60.194,92,59935
133.149.3.156,1,52
163.33.90.167,1,40
203.77.92.57,1,40
133.149.210.53,1,48
133.149.139.191,1,44
203.77.82.62,1,40
203.77.112.105,2,80
163.33.209.50,1,44
133.149.187.151,1,40
133.149.77.62,1,48
150.75.78.35,1,40
163.33.167.65,1,84
163.33.104.140,1,40
163.33.15.189,1,44
150.75.236.128,1,44
202.198.42.139,1,44
150.75.106.253,1,40
150.75.229.175,1,44
163.33.132.73,1,40
150.75.208.60,1,44
150.75.131.251,1,40
150.75.190.37,1,40
150.75.61.65,1,40
133.11.88.12,1,40
163.33.244.233,4,208
163.33.183.76,1,40
133.11.65.68,1,44
203.77.72.220,1,44
163.33.110.52,1,52
163.33.249.69,1,40
150.75.234.197,1,40
133.11.88.203,1,52
163.33.237.5,1,40
133.149.190.74,1,60
163.33.92.150,87,84841
133.11.106.10,1,40
133.149.243.20,1,40
133.149.169.228,1,40
163.33.123.232,1,40
150.75.228.34,1,48
150.75.189.10,1,44
203.77.5.27,1,40
150.75.149.21,1,40
203.77.25.93,1,40
202.25.109.230,1,40
203.77.118.251,2,147
163.33.114.114,1,48
133.149.31.22,1,40
163.33.146.230,1,40
150.75.245.113,1,40
150.75.82.5,1,40
150.75.4.132,1,40
133.149.231.20,1,40
163.33.41.139,1,40
150.75.147.77,1,121
133.11.115.226,1,40
133.11.71.167,1,44
202.198.7.234,1,40
163.33.19.216,1,40
133.149.22.109,1,40
163.33.4.27,1,40
163.33.62.168,1,152
163.33.149.145,1,60
133.149.12.174,1,40
133.149.31.75,1,40
133.149.45.249,1,40
150.75.46.181,1,40
163.33.235.159,1,40
150.75.85.112,1,40
150.75.148.108,1,40
203.77.51.34,1,40
133.149.176.217,1,44
163.33.254.175,1,40
133.149.143.165,1,40
203.77.50.170,1,40
163.33.233.44,1,40
163.33.50.42,1,40
150.75.86.44,1,40
163.33.133.185,2,80
150.75.156.189,1,40
133.149.74.234,1,40
133.149.164.158,2,80
133.149.106.47,1,40
150.75.51.54,1,40
150.75.97.102,1,40
202.198.28.183,1,52
150.75.101.103,1,44
150.75.180.224,1,40
150.75.11.19,2,120
133.149.74.180,1,40
133.149.214.0,1,40
203.77.124.223,1,40
202.198.56.130,1,40
202.198.6.163,1,44
163.33.170.124,1,40
150.75.241.184,1,40
150.75.64.156,1,40
150.75.181.63,1,40
203.77.45.158,1,60
150.75.46.233,1,40
163.33.244.187,4,196
150.75.165.167,1,40
150.75.232.151,1,40
163.33.139.252,1,40
202.198.38.212,1,40
163.33.42.81,1,40
203.77.17.84,2,80
163.33.93.202,15,7789
163.33.113.203,1,40
203.77.50.247,1,40
133.149.84.227,1,40
163.33.133.228,1,44
163.33.196.186,1,44
133.149.94.178,1,40
150.75.128.243,1,40
163.33.93.144,1,40
133.149.36.38,1,40
163.33.118.62,1,40
133.149.210.169,1,44
133.149.10.52,1,40
133.149.12.23,1,40
133.149.216.18,2,80
202.198.46.54,1,40
150.75.7.199,1,40
133.149.183.97,1,40
203.77.23.199,1,40
202.198.12.200,1,40
202.198.45.231,1,52
150.75.204.99,1,44
203.77.89.38,2,80
133.11.69.147,1,40
150.75.176.208,1,40
133.149.174.142,1,220
203.77.101.194,1,40
150.75.113.123,1,40
163.33.5.127,1,40
133.149.156.2,1,44
203.77.71.13,1,40
133.149.79.36,1,44
133.149.153.134,1,40
133.149.139.36,1,40
163.33.110.167,1,40
133.149.108.242,1,40
150.75.39.149,1,40
133.149.119.163,1,40
163.33.179.251,1,40
133.149.33.91,1,40
163.33.160.95,1,40
133.149.173.23,1,40
150.75.66.68,1,52
163.33.139.161,1,40
150.75.74.5,2,84
150.75.101.154,1,40
203.77.101.60,1,40
163.33.234.104,1,44
133.149.214.15,4,460
202.198.40.202,1,40
202.25.107.144,1,52
163.33.44.230,1,40
133.149.14.20,1,40
202.198.26.214,1,40
150.75.19.194,1,40
150.75.85.159,1,40
133.11.102.127,1,40
163.33.243.20,1,40
133.149.183.161,1,40
203.77.124.158,1,40
133.11.65.112,1,40
150.75.233.238,1,40
202.204.56.87,1,44
163.33.248.147,2,92
133.149.39.243,1,40
163.33.216.217,1,40
163.33.18.128,1,40
150.75.28.231,1,40
203.77.2.243,1,44
133.149.85.56,1,40
203.77.99.186,1,40
203.77.64.165,1,40
202.204.56.154,17,2636
163.33.106.97,1,40
133.149.126.146,1,40
163.33.9.157,1,44
150.75.196.12,1,40
163.33.168.154,1,44
133.149.174.140,1,121
150.75.120.77,1,40
163.33.71.147,1,40
203.77.14.238,1,52
163.33.168.10,1,40
133.149.44.232,1,40
150.75.3.180,1,44
163.33.156.203,1,48
163.33.49.94,1,44
150.75.82.191,1,40
163.33.232.196,1,1439
133.149.245.160,1,40
163.33.134.123,1,40
150.75.235.7,1,40
150.75.96.197,1,40
203.77.7.63,1,40
163.33.80.4,3,166
203.77.111.173,1,40
163.33.247.184,1,40
133.149.118.186,1,40
202.198.39.191,1,40
150.75.0.73,1,40
163.33.26.167,1,52
133.149.64.74,1,40
133.149.209.86,1,40
163.33.183.244,1,40
163.33.78.225,1,40
133.11.92.249,1,40
133.11.111.131,1,40
163.33.114.247,1,40
133.149.172.214,1,40
150.75.65.9,1,40
163.33.255.119,1,44
133.149.192.90,1,40
202.198.48.15,1,40
163.33.3.85,1,40
133.149.242.251,1,40
203.77.124.224,1,40
163.33.62.169,3,521
203.77.57.180,1,40
150.75.189.173,1,40
133.149.239.120,1,40
133.149.249.25,1,40
163.33.245.39,1,40
133.149.147.245,1,40
202.198.45.229,1,40
133.149.77.253,1,40
203.77.119.181,5,496
163.33.22.244,1,44
150.75.124.181,1,40
163.33.33.108,1,40
133.149.214.160,1,40
203.77.37.253,1,40
163.33.13.0,1,40
163.33.33.173,1,48
150.75.93.197,1,40
150.75.252.96,1,48
202.198.46.69,1,40
150.75.187.209,1,48
203.77.39.77,1,40
150.75.48.127,1,60
133.11.114.184,1,40
203.77.12.147,2,80
133.149.155.203,1,576
133.149.241.114,1,40
133.149.158.162,1,40
163.33.238.72,1,40
133.11.126.255,1,40
133.149.215.129,1,52
202.198.23.55,1,40
133.149.249.44,1,40
150.75.160.94,1,60
202.198.60.131,1,40
150.75.192.94,1,40
150.75.46.210,1,40
203.77.15.23,3,166
203.77.7.2,1,40
150.75.204.243,1,40
133.149.122.49,1,60
150.75.49.195,1,40
203.77.81.85,1,40
133.149.245.53,1,40
133.149.89.28,1,40
133.11.117.209,1,40
150.75.181.204,1,40
133.149.122.223,1,40
202.198.35.157,1,40
150.75.107.69,1,40
133.149.41.206,1,40
150.75.239.30,1,40
203.77.93.179,1,44
150.75.113.25,1,40
133.11.83.27,1,48
133.149.103.204,1,40
150.75.151.219,1,40
150.75.87.85,1,40
133.149.205.116,1,40
133.149.91.99,1,40
133.149.73.175,1,40
163.33.244.188,1,52
202.15.129.141,1,52
202.198.60.146,1,40
133.149.44.125,1,40
150.75.108.217,1,40
133.11.126.196,1,40
133.149.49.85,1,40
203.77.101.126,1,40
163.33.183.156,1,40
133.11.114.1,1,40
163.33.240.60,1,40
203.77.49.127,1,44
133.149.94.13,1,40
203.77.116.219,1,60
203.77.92.142,1,40
163.33.20.40,1,40
150.75.75.241,1,40
133.149.34.87,1,44
150.75.185.188,1,40
150.75.180.115,1,40
150.75.111.16,1,40
133.149.32.129,1,40
202.198.19.148,1,40
203.77.13.50,1,40
133.11.94.16,1,40
133.11.126.240,1,40
150.75.110.196,1,40
133.149.120.202,1,40
150.75.123.82,1,220
150.75.221.249,1,40
202.204.62.57,1,40
163.33.12.163,10,1416
133.11.126.105,1,40
163.33.91.9,1,40
133.149.100.107,1,40
163.33.9.0,1,40
133.149.4.175,1,121
163.33.88.162,1,40
150.75.253.218,1,40
163.33.231.64,1,40
163.33.108.100,1,40
150.75.122.104,1,40
133.11.71.196,1,40
133.149.217.218,1,40
133.149.55.224,1,28
163.33.82.226,1,40
150.75.179.173,1,40
133.149.159.8,1,52
133.149.223.131,1,40
133.149.223.200,1,40
203.77.20.56,2,88
150.75.133.220,1,40
150.75.91.35,2,100
163.33.88.238,1,40
150.75.150.190,1,40
133.149.251.168,1,40
203.77.75.19,1,40
150.75.115.148,1,40
202.198.20.211,1,40
163.33.152.248,1,40
133.149.253.33,2,80
150.75.180.94,1,40
150.75.77.48,1,40
163.33.81.232,1,40
133.149.110.146,1,40
163.33.155.225,1,40
163.33.251.76,1,40
150.75.192.116,1,40
202.198.28.172,1,40
150.75.83.118,1,40
203.77.78.59,1,40
150.75.1.145,1,44
150.75.125.102,1,40
133.149.201.4,1,40
150.75.126.198,1,40
150.75.212.85,1,40
150.75.234.217,1,40
163.33.58.95,1,40
133.149.74.19,1,40
150.75.38.242,1,44
163.33.234.255,1,40
203.77.2.96,1,44
133.149.5.6,1,40
133.149.174.41,1,40
133.11.114.65,1,44
163.33.142.7,1,40
150.75.3.151,1,40
202.198.49.62,1,40
203.77.43.171,1,40
150.75.107.97,1,40
133.11.80.21,1,40
150.75.19.235,1,40
150.75.25.56,1,44
133.149.101.87,1,40
150.75.225.250,1,40
163.33.112.113,1,40
133.149.73.104,1,40
163.33.194.204,1,40
163.33.222.24,1,40
133.149.112.207,1,44
203.77.25.106,1,40
163.33.55.172,1,40
163.33.77.44,1,40
133.11.69.33,1,40
133.149.255.161,1,40
163.33.69.66,1,40
163.33.236.247,1,40
133.11.110.172,1,40
150.75.125.37,4,258
150.75.192.6,1,40
163.33.168.176,1,49
203.77.120.185,1,45
163.33.166.142,1,44
150.75.56.195,1,40
150.75.3.215,1,40
163.33.26.96,1,40
150.75.250.209,1,40
163.33.105.203,1,40
202.198.38.36,1,40
150.75.127.165,1,40
163.33.202.151,1,44
133.149.107.157,1,40
133.149.254.239,2,80
133.149.81.32,1,40
150.75.26.62,5,2171
150.75.169.196,1,40
203.77.111.114,1,40
150.75.92.160,1,40
150.75.230.229,1,40
133.149.62.226,1,40
133.149.244.96,1,40
202.198.38.181,1,40
202.198.36.141,1,40
150.75.26.57,5,2172
150.75.77.196,1,40
163.33.140.120,1,40
163.33.186.102,1,40
150.75.26.59,5,2174
133.11.110.196,1,44
163.33.100.230,1,60
163.33.56.181,1,40
133.149.90.138,1,48
203.77.76.145,1,40
133.149.75.243,1,40
150.75.26.56,5,2171
133.149.209.149,1,40
203.77.113.202,7,949
202.198.54.206,1,40
163.33.180.40,1,40
163.33.21.115,1,40
150.75.114.18,1,40
133.149.157.127,1,40
133.11.71.141,1,40
133.149.101.101,1,40
202.204.58.191,2,100
203.77.101.135,1,44
133.11.108.98,1,40
133.149.72.156,1,44
163.33.20.155,1,40
163.33.221.52,1,44
202.204.60.201,2,188
150.75.84.196,1,40
133.149.141.139,1,40
150.75.17.156,1,40
150.75.26.58,5,2171
133.149.113.109,1,40
150.75.26.63,5,2174
133.11.70.214,4,228
133.149.92.28,1,40
133.11.98.243,1,44
163.33.182.58,1,40
133.11.108.117,1,40
150.75.87.214,1,40
150.75.193.198,1,40
133.149.246.242,1,40
150.75.91.117,1,48
150.75.26.53,5,2174
163.33.248.117,10,1286
202.204.56.145,21,840
133.149.108.244,1,40
202.198.55.43,1,40
133.11.117.24,1,40
133.11.116.84,1,40
163.33.63.168,3,534
133.149.190.215,1,40
163.33.116.84,45,67500
203.77.99.226,1,44
163.33.105.34,1,40
150.75.224.62,1,44
150.75.52.39,1,40
150.75.147.4,1,40
203.77.126.39,1,40
150.75.20.244,1,40
150.75.16.180,1,40
133.149.221.214,1,40
150.75.26.52,5,2172
150.75.139.182,1,40
203.77.96.132,1,40
133.11.115.219,1,35
150.75.122.220,1,40
163.33.99.43,1,40
163.33.125.197,1,40
163.33.9.5,8,480
163.33.79.117,1,40
150.75.173.127,2,80
150.75.14.217,1,40
133.149.164.239,1,121
133.149.115.200,1,40
133.149.185.59,1,44
133.149.44.24,1,40
133.149.209.132,1,40
203.77.11.185,1,40
133.149.33.7,1,40
133.11.98.23,1,40
150.75.9.141,1,40
150.75.13.180,1,48
150.75.65.74,1,40
150.75.83.115,1,40
150.75.251.39,1,44
203.77.47.189,1,52
202.198.22.169,1,40
150.75.137.18,1,40
133.149.114.193,1,60
203.77.83.57,1,40
133.11.124.213,1,44
133.149.227.21,1,40
